date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:57	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Jan%202018%2022:51:57%20GMT	http://i1.wp.com/robots.txt		(from http://adverifai.com/)
00:51:58	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Jan%202018%2022:51:57%20GMT	http://i2.wp.com/robots.txt		(from http://adverifai.com/)
00:51:59	8734/8734	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202018%2017:29:03%20GMT	http://adverifai.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1.8.11	/home/boss/websites/Israel/adverifai.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4585.css	(from http://adverifai.com/our-solution/)
00:51:59	18468/18468	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202018%2017:29:03%20GMT	http://adverifai.com/wp-content/plugins/elementor/assets/css/animations.min.css?ver=1.8.11	/home/boss/websites/Israel/adverifai.com/wp-content/plugins/elementor/assets/css/animations.min4585.css	(from http://adverifai.com/our-solution/)
00:51:59	73915/73915	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202018%2017:29:03%20GMT	http://adverifai.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=1.8.11	/home/boss/websites/Israel/adverifai.com/wp-content/plugins/elementor/assets/css/frontend.min4585.css	(from http://adverifai.com/our-solution/)
00:52:00	2031/2031	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2022:53:43%20GMT	http://adverifai.com/wp-content/uploads/elementor/css/post-57.css?ver=1510786423	/home/boss/websites/Israel/adverifai.com/wp-content/uploads/elementor/css/post-57ef90.css	(from http://adverifai.com/our-solution/)
00:52:00	3790/3790	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:35:36%20GMT	http://adverifai.com/wp-content/themes/hestia/assets/css/page-builder-style.css?ver=1.1.54	/home/boss/websites/Israel/adverifai.com/wp-content/themes/hestia/assets/css/page-builder-style4d86.css	(from http://adverifai.com/our-solution/)
00:52:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202018%2022:52:00%20GMT	https://wp.me/P9mldX-V	/home/boss/websites/Israel/wp.me/P9mldX-V.42.delayed	(from http://adverifai.com/our-solution/)
00:52:02	2296/2296	---MCZ	200	added ('OK')	application/json	date:Mon,%2008%20Jan%202018%2022:52:01%20GMT	http://adverifai.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadverifai.com%2Four-solution%2F	/home/boss/websites/Israel/adverifai.com/wp-json/oembed/1.0/embed74e1.json	(from http://adverifai.com/our-solution/)
00:52:03	2393/2393	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Jan%202018%2022:52:02%20GMT	http://adverifai.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadverifai.com%2Four-solution%2F&format=xml	/home/boss/websites/Israel/adverifai.com/wp-json/oembed/1.0/embedded8	(from http://adverifai.com/our-solution/)
